Notes,author_id,author_name,canonical_key,extra,last_name,first_name,middle_name,replacement
,527,"Hubbard, Angie K.",hubbard|ak,NA,Hubbard,Angie,K,
,531,"Hudak, G J",hudak|g,NA,Hudak,G,J,
,537,"Hunt, R J",hunt|r,NA,Hunt,R,J,
,558,"Iverson, Nels",iverson|n,NA,Iverson,Nels,NA,
,599,"J.V. Jones, I I I",jvjones|i,III,Jones,J,V,550
,570,"Jenni, K E",jenni|k,NA,Jenni,K,E,
,580,"Johnsen, Racheal L.",johnsen|rl,NA,Johnsen,Racheal,L,
,1337,"Johnson, Michaela R",NA,NA,Johnson,Michaela,R,
,588,"Jones, J.V., I I I",jones|ji,NA,Jones,JV,I I I,550
"Fixed author_name to have the right order (Last, First Middle III). This will replace ID=599 which only has the first initial & ID=588 which only has the first initial",550,"Jones, James V. III",iii|jvj,III,Jones,James,V,
,591,"Jr, Gary Daft",jr|gd,NA,Jr,Gary,Daft,
,1344,"Karl, Nick A",NA,NA,Karl,Nick,A,
,614,"Kelley, K.",kelley|k,NA,Kelley,K,NA,
,615,"Kelley, Richard",kelley|r,NA,Kelley,Richard,NA,
,616,"Kelley, Shari",kelley|s,NA,Kelley,Shari,NA,
,621,"Ketcham, R.",ketcham|r,NA,Ketcham,R,NA,
,1343,"Knudsen, Liam D",NA,NA,Knudsen,Liam,D,
,643,"Kokaly, R F",kokaly|r,NA,Kokaly,R,F,
,655,"Kreiner, Douglas C.",kreiner|dc,NA,Kreiner,Douglas,C,
,657,"Kuiper, Y D",kuiper|y,NA,Kuiper,Y,D,
,663,"Kylander-Clark, A R C",kylanderclark|a,NA,Kylander-Clark,A,R C,
,667,"Langhans, A D Allen",langhans|aa,Allen,Langhans,A,D,
,678,"Lederer, Graham W.",lederer|gw,NA,Lederer,Graham,W,
,1328,"Lentz, David R.",NA,NA,Lentz,David,R,
,697,"Lizzadro-McPherson, Daniel",lizzadromcpherson|d,NA,Lizzadro-McPherson,Daniel,NA,
,705,"Loferski, Patricia",loferski|p,NA,Loferski,Patricia,NA,
,707,"Lopez, Julian A.",lopez|ja,NA,Lopez,Julian,A,
,713,"Lukoczki, Georgina",lukoczki|g,NA,Lukoczki,Georgina,NA,
,728,"Macqueen, Patricia G.",macqueen|pg,NA,Macqueen,Patricia,G,
,731,"Magnin, B P",magnin|b,NA,Magnin,B,P,
,748,"Marvinney, R G",marvinney|r,NA,Marvinney,R,G,
,753,"Masterman, Steve S.",masterman|ss,NA,Masterman,Steve,S,
,761,"Mauk, Jeffrey L.",mauk|jl,NA,Mauk,Jeffrey,L,
fixed author_name to be in proper case,1335,"Maune, David F.",NA,NA,MAUNE,DAVID,F,
,770,"McCafferty, Anne E.",mccafferty|ae,NA,McCafferty,Anne,E,
,776,"McLemore, Virginia T.",mclemore|vt,NA,McLemore,Virginia,T,
,780,"McPhee, Darcy",mcphee|d,NA,McPhee,Darcy,NA,
,791,"Meyer, J M",meyer|j,NA,Meyer,J,M,
,1345,"Mitchell, Ryan J.",NA,NA,Mitchell,Ryan,J,
,817,"Monroe, A.",monroe|a,NA,Monroe,A,NA,
,820,"Moore, Jessica",moore|j,NA,Moore,Jessica,NA,
,829,"Morris, Emily",morris|e,NA,Morris,Emily,NA,
,1330,"Morrow, Robert",NA,NA,Morrow,Robert,NA,
,833,"Moshrefzadeh, J.",moshrefzadeh|j,NA,Moshrefzadeh,J,NA,
,840,"Mroz, Thomas",mroz|t,NA,Mroz,Thomas,NA,
,845,"Muller, Izzy P.",muller|ip,NA,Muller,Izzy,P,
,846,"Murchek, Jacob T.",murchek|jt,NA,Murchek,Jacob,T,
,848,"Murdoch, P S",murdoch|p,NA,Murdoch,P,S,
,859,"Naibert, Travis J.",naibert|tj,NA,Naibert,Travis,J,
,1327,"Nassar, Nedal T.",NA,NA,Nassar,Nedal,T,
,864,"Newberry, Rainer J.",newberry|rj,NA,Newberry,Rainer,J,
,879,"Nolan, V P",nolan|v,NA,Nolan,V,P,
,880,"Norwood, L.",norwood|l,NA,Norwood,L,NA,
,897,"O'Sullivan, P B",osullivan|p,NA,O'Sullivan,P,B,
,899,"Owen, Evan J.",owen|ej,NA,Owen,Evan,J,
,1331,"Pace, Michael",NA,NA,Pace,Michael,NA,
,918,"Pearson, Anna",pearson|a,NA,Pearson,Anna,NA,
,926,"Petersen, E I",petersen|e,NA,Petersen,E,I,
,936,"Phelps, Geoffrey",phelps|g,NA,Phelps,Geoffrey,NA,
,939,"Piatak, N.",piatak|n,NA,Piatak,N,NA,
,941,"Pineault, David George",pineault|dg,NA,Pineault,David,George,
,947,"Ponce, D.",ponce|d,NA,Ponce,D,NA,
,954,"Pratt, T. L.",pratt|tl,NA,Pratt,T,L,
,959,"Pulliam, Carrie",pulliam|c,NA,Pulliam,Carrie,NA,
,965,"Qi, S.",qi|s,NA,Qi,S,NA,
,1013,"R.R. Seal, I I",rrseal|i,II,Seal,Robert,R,996
,986,"Regan, Sean P.",regan|sp,NA,Regan,Sean,P,
,998,"Robinson, Devan M.",robinson|dm,NA,Robinson,Devan,M,
,1008,"Rosera, Joshua M.",rosera|jm,NA,Rosera,Joshua,M,
,1011,"Royce, Bethany",royce|b,NA,Royce,Bethany,NA,
,1021,"Ryker, S J",ryker|s,NA,Ryker,S,J,
,1352,"Saari, Stacy",NA,NA,Saari,Stacy,NA,
,1326,"San Juan, C. A.",NA,San,Juan,C,A,
,1033,"Scheirer, Dan",scheirer|d,NA,Scheirer,Dan,NA,
,1341,"Schmeda, German",NA,NA,Schmeda,German,NA,
,1349,"Schweitzer, P. N.",NA,NA,Schweitzer,P,N,
,1046,"Seal, Robert",seal|r,NA,Seal,Robert,NA,996
"Fixed author_name to have the right order (Last, First Middle III). This will replace ID=1013 which only has the first initial & ID=1046 which only has the first & last name",996,"Seal, Robert R. II",robertrseal|i,II,Seal,Robert,R,
,1052,"Shah, A. K.",shah|ak,NA,Shah,A,K,
,1071,"Sicard, Karri R.",sicard|kr,NA,Sicard,Karri,R,
,1083,"Slack, J F",slack|j,NA,Slack,J,F,
,1085,"Smirnov, Aleksey V.",smirnov|av,NA,Smirnov,Aleksey,V,
,1350,"Smith, B. D.",NA,NA,Smith,B,D,
,1091,"Solano, Federico",solano|f,NA,Solano,Federico,NA,
,1096,Souders,souders|,NA,Souders,NA,NA,
,1347,"Staisch, Lydia M",NA,NA,Staisch,Lydia,M,
,1340,"Stewart, E. D.",NA,NA,Stewart,E,D,
,1114,"Stillings, L.",stillings|l,NA,Stillings,L,NA,
,1115,"Stoeser, D.",stoeser|d,NA,Stoeser,D,NA,
,1132,"Swayze, G A",swayze|g,NA,Swayze,G,A,
,1135,"Szumigala, David J.",szumigala|dj,NA,Szumigala,David,J,
,1163,"Todd, Erin",todd|e,NA,Todd,Erin,NA,
,1334,"Torregrosa, A.",NA,NA,Torregrosa,A,NA,
,1176,"Truskowski, Conner M.",truskowski|cm,NA,Truskowski,Conner,M,
,1338,"Turner, M. M.",NA,NA,Turner,M,M,
,1178,"Twelker, Evan",twelker|e,NA,Twelker,Evan,NA,
Fixed author_name (& last name/extra) to use be 'Van Gosen' This will replace ID=1188 which only has first initial and last name,429,"Van Gosen, B S",gosen|bv,NA,Van Gosen,B,S,
,1188,"Van Gosen, B.",vangosen|b,NA,Van,Gosen,B,429
,1193,"Verplanck, P.",verplanck|p,NA,Verplanck,P,NA,
,1194,"Vicroy, Stephanie",vicroy|s,NA,Vicroy,Stephanie,NA,
,1200,"Voosen, Paul",voosen|p,NA,Voosen,Paul,NA,
,1211,"Wang, C.",wang|c,NA,Wang,C,NA,
,1230,"Werdon, Melanie B.",werdon|mb,NA,Werdon,Melanie,B,
,1239,"White, S J",white|s,NA,White,S,J,
,1329,"Whittaker, Amber T. H.",NA,NA,Whittaker,Amber,T H,
,1241,"Wildland, Alec D.",wildland|ad,NA,Wildland,Alec,D,
,1243,"Williams, D M",williams|d,NA,Williams,D,M,
,1247,"Willis, B T M",willis|b,NA,Willis,B,T M,
,1251,"Wilson, T S",wilson|t,NA,Wilson,T,S,
,1252,"Wiltermuth, M T",wiltermuth|m,NA,Wiltermuth,M,T,
,1256,"Woodruff, L.",woodruff|l,NA,Woodruff,L,NA,
,1266,"Wyatt, W. Chris",wyatt|wc,NA,Wyatt,W,Chris,
,1267,"Wypych, Alicja",wypych|a,NA,Wypych,Alicja,NA,
,1285,"Yates, M G",yates|m,NA,Yates,M,G,
,1320,"Zimmerer, Mathew",zimmerer|m,NA,Zimmerer,Mathew,NA,
,1323,"Zuza, Andrew V.",zuza|av,NA,Zuza,Andrew,V,
