"","pub_id","author_name","author_id"
"1059",157,"Hirsh, H.","500"
"1060",157,"Parab, S.","908"
"1061",157,"Nguyen, L H B","866"
"1062",157,"Zhang, M.","1308"
"1063",157,"Meng, Ying Shirley","1572"
"1064",173,"Fortier, Steven M.","375"
"1065",173,"Kelley, K.","614"
"1066",173,"Nassar, Nedal T.","1327"
"1067",173,"Lederer, Graham W.","678"
"1068",173,"Mauk, Jeffrey L.","761"
"1069",173,"Hammarstrom, Jane M.","458"
"1070",173,"Day, Warren C.","270"
"1071",173,"Seal, Robert R. II","996"
"1072",175,"Davey, S C","265"
"1073",175,"Bleeker, W.","126"
"1074",175,"Kamo, S L","604"
"1075",175,"Vuollo, J.","1204"
"1076",175,"Ernst, R E","335"
"1077",175,"Cousens, B. L.","1405"
"1078",176,"Abbas, S.","1"
"1079",176,"Bailey, R T","70"
"1080",176,"White, J T","1237"
"1081",176,"Arnold, J G","52"
"1082",176,"White, Michael J. ","1494"
"1083",176,"Čerkasova, Natalja","334"
"1084",176,"Gao, Jungang","1407"
"1085",181,"Karabelli, D.","609"
"1086",181,"Kiemel, S.","625"
"1087",181,"Singh, S.","1080"
"1088",181,"Koller, J.","645"
"1089",181,"Ehrenberger, Simone","1408"
"1090",181,"Miehe, Robert","1409"
"1091",181,"Weeber, Max","1410"
"1092",181,"Birke, Kai Peter","1411"
"1093",189,"Miller, Kaleisha D.","797"
"1094",189,"Bentley, Matthew J.","102"
"1095",189,"Ryan, Joseph N.","1020"
"1096",189,"Linden, Karl G.","685"
"1097",189,"Larison, Caleb","668"
"1098",189,"Kienzle, Benjamin A.","626"
"1099",189,"Katz, Lynn E.","611"
"1100",189,"Wilson, Alana M.","1248"
"1101",189,"Cox, Jordan T.","245"
"1102",189,"Kurup, Parthiv","661"
"1103",189,"Allsburg, Kurt M. Van","28"
"1104",189,"McCall, James","771"
"1105",189,"Macknick, Jordan E.","727"
"1106",189,"Talmadge, Michael S.","1138"
"1107",189,"Miara, Ariel","793"
