"","pub_id","author_name","author_id"
"543",108,"Newberry, Rainer J.","864"
"544",108,"Wypych, Alicja","1267"
"545",108,"Sicard, Karri R.","1071"
"546",108,"Naibert, Travis J.","859"
"547",109,"Twelker, Evan","1178"
"548",109,"Newberry, Rainer J.","864"
"549",109,"Naibert, Travis J.","859"
"550",109,"Wypych, Alicja","1267"
"551",109,"Sicard, Karri R.","1071"
"552",109,"Regan, Sean P.","986"
"553",109,"Wildland, Alec D.","1241"
"554",112,"Emond, A.","327"
"555",112,"Fusso, L A","386"
"556",114,"Emond, A.","327"
"557",116,"Day, Warren C.","270"
"558",116,"Benjamin J Drenth, Ph.D","98"
"559",116,"McCafferty, Anne E.","770"
"560",116,"Shah, A. K.","1052"
"561",116,"Ponce, D.","947"
"562",116,"Jones, James V. III","550"
"563",116,"Grauch, V. J. S.","434"
"564",117,"Magnin, B P","731"
"565",117,"Kuiper, Y D","657"
"566",117,"Anderson, E.","35"
"567",118,"Fusso, L A","386"
"568",118,"Petersen, E I","926"
"569",118,"Emond, A.","327"
"570",120,"Gavel, Michelle M.","402"
"571",120,"Regan, Sean P.","986"
"572",120,"Holland, M. S P","507"
"573",120,"Wildland, Alec D.","1241"
"574",120,"Wypych, Alicja","1267"
"575",120,"Naibert, Travis J.","859"
"576",120,"Twelker, Evan","1178"
"577",121,"Naibert, Travis J.","859"
"578",121,"Wypych, Alicja","1267"
"579",121,"Twelker, Evan","1178"
"580",121,"Gavel, Michelle M.","402"
"581",121,"Wildland, Alec D.","1241"
"582",121,"Newberry, Rainer J.","864"
"583",121,"Szumigala, David J.","1135"
"584",121,"Barrera, Michael L.","83"
"585",121,"Fessenden, Serena N.","359"
"586",122,"Emond, A.","327"
"587",123,"Albinati, A.","19"
"588",123,"Willis, B T M","1247"
"589",124,"Murchek, Jacob T.","846"
"590",124,"Drenth, Benjamin J.","305"
"591",124,"Emond, A.","327"
"592",125,"Bedrosian, Paul A.","93"
"593",125,"Macqueen, Patricia G.","728"
"594",126,"Phelps, Geoffrey","936"
"595",127,"Bird, Philip H.","120"
