"","author_id","author_name","canonical_key","extra","last_name","first_name","middle_name","check.accents"
"77",65,"Azifa, A.","azifa|a",NA,"Azifa","A",NA,NA
"78",66,"Azmi, Ulul","azmi|u",NA,"Azmi","Ulul",NA,NA
"79",67,"Babaei, F.","babaei|f",NA,"Babaei","F",NA,NA
"80",68,"Babaie, H A","babaie|h",NA,"Babaie","H","A",NA
"81",69,"Babel, H R","babel|h",NA,"Babel","H","R",NA
"82",71,"Bai, Y.","bai|y",NA,"Bai","Y",NA,NA
"83",70,"Bailey, R T","bailey|r",NA,"Bailey","R","T",NA
"84",72,"Bajnai, D.","bajnai|d",NA,"Bajnai","D",NA,NA
"85",73,"Bajo-Walker, B.","bajowalker|b",NA,"Bajo-Walker","B",NA,NA
"86",74,"Bak, Seong-Min","bak|s",NA,"Bak","Seong-Min",NA,NA
"87",1348,"Ball, L. B.",NA,NA,"Ball","L","B",NA
"88",1679,"Bang, Minkyu",NA,NA,"Bang","Minkyu",NA,NA
"89",76,"Banta, Joshua A.","banta|ja",NA,"Banta","Joshua","A",NA
"90",77,"Barker, I R","barker|i",NA,"Barker","I","R",NA
"91",79,"Barnes, A M","barnes|a",NA,"Barnes","A","M",NA
"92",1487,"Barnet, James S.K.",NA,NA,"Barnet","James","SK",NA
"93",80,"Barnett, A R","barnett|a",NA,"Barnett","A","R",NA
"94",81,"Baron, J.","baron|j",NA,"Baron","J",NA,NA
"95",82,"Baron, Thierry","baron|t",NA,"Baron","Thierry",NA,NA
"96",83,"Barrera, Michael L.","barrera|ml",NA,"Barrera","Michael","L",NA
"97",84,"Barriga, F J A S","barriga|f",NA,"Barriga","F","J A S",NA
"98",1673,"Barton, Isabel",NA,NA,"Barton","Isabel",NA,NA
"99",85,"Barton, M D","barton|m",NA,"Barton","M","D",NA
"100",86,"Bartsch, W.","bartsch|w",NA,"Bartsch","W",NA,NA
"101",1353,"Bassan, Lucas",NA,NA,"Bassan","Lucas",NA,NA
"102",87,"Bastrakov, E.","bastrakov|e",NA,"Bastrakov","E",NA,NA
"103",1399,"Batapola, N. M.",NA,NA,"Batapola","N","M",NA
"104",1639,"Batchu, Rakesh",NA,NA,"Batchu","Rakesh",NA,NA
"105",88,"Bazilian, M D","bazilian|m",NA,"Bazilian","M","D",NA
"106",1453,"Bean, A.",NA,NA,"Bean","A",NA,NA
"107",91,"Beck, F M","beck|f",NA,"Beck","F","M",NA
"108",89,"Becker, Naomi Ann","becker|na",NA,"Becker","Naomi","Ann",NA
"109",1737,"Beckers, Koenraad F.",NA,NA,"Beckers","Koenraad","F",NA
"110",90,"Beckwith","beckwith|",NA,"Beckwith",NA,NA,NA
"111",92,"Bednar, A J","bednar|a",NA,"Bednar","A","J",NA
"112",93,"Bedrosian, Paul A.","bedrosian|pa",NA,"Bedrosian","Paul","A",NA
"113",94,"Belcher, B R","belcher|b",NA,"Belcher","B","R",NA
"114",1433,"Belharouak, Ilias",NA,NA,"Belharouak","Ilias",NA,NA
"115",95,"Belitz, K.","belitz|k",NA,"Belitz","K",NA,NA
"116",1720,"Bellefeuille, Nathan A.",NA,NA,"Bellefeuille","Nathan","A",NA
"117",97,"Benavides, E.","benavides|e",NA,"Benavides","E",NA,NA
"118",98,"Benjamin J Drenth, Ph.D","benjaminjdrenth|p","Ph.D","Drenth","Benjamin","J",NA
"119",99,"Bennett, Michael","bennett|m",NA,"Bennett","Michael",NA,NA
"120",100,"Bennett, S E K","bennett|s",NA,"Bennett","S","E K",NA
"121",101,"Benowitz, J.","benowitz|j",NA,"Benowitz","J",NA,NA
"122",102,"Bentley, Matthew J.","bentley|mj",NA,"Bentley","Matthew","J",NA
"123",103,"Benton, J R","benton|j",NA,"Benton","J","R",NA
"124",104,"Berg, R C","berg|r",NA,"Berg","R","C",NA
"125",105,"Berhe, A A","berhe|a",NA,"Berhe","A","A",NA
"126",107,"Bern, C R","bern|c",NA,"Bern","C","R",NA
"127",106,"Bernard, Curtis M.","bernard|cm",NA,"Bernard","Curtis","M",NA
"128",108,"Berry, M E","berry|m",NA,"Berry","M","E",NA
"129",109,"Beunk, Frank F.","beunk|ff",NA,"Beunk","Frank","F",NA
"130",1462,"Beutler, Curtis",NA,NA,"Beutler","Curtis",NA,NA
"131",110,"Beyene, M T","beyene|m",NA,"Beyene","M","T",NA
